"nid","title","SGA_ACERVO_VIDEO","Descritor","Descritor.1","Descritor.2","Descritor.3","Descritor.4","Descritor.5","Descritor.6","Descritor.7","Descritor.8","Descritor.9","Descritor.10","Descritor.11","Descritor.12","Descritor.13","Descritor.14","Descritor.15","Descritor.16","Descritor.17","Descritor.18","Descritor.19","Descritor.20","Descritor.21","Descritor.22"
"416","ARGELINOS","987","1093","1162","1178","1214","1276","1281","1316","1353","1504",,,,,,,,,,,,,,
"417","ERÊ: AS CRIANÇAS TERRÍVEIS DO CANDOMBLÉ","988","1065","1178","1218","1230","1279","1442",,,,,,,,,,,,,,,,,
"418","EBÓ: SACRIFÍCIO, OFERENDA, ALIMENTO","989","1065","1178","1230","1393","1442","1667",,,,,,,,,,,,,,,,,
"419","CIRANDA CIRANDINHA:HISTÓRIAS DE CIRCULAÇÃO DE CRIANÇAS EM CLASSES POPULARES","995","1060","1062","1097","1154","1166","397","1396",,,,,,,,,,,,,,,,
"420","PHOTO WALLAHS","996","1105","1116","1147","1229","1268","1327","1541","1549",,,,,,,,,,,,,,,
"421","ALÉM DAS NUVENS","997","1048","1054","1067","1091","1216","1240","1271","1282","1549","1612",,,,,,,,,,,,,
"422","BRASIL, UMA NAÇÃO DE CHUTEIRAS (1º PROGRAMA)","1009","1078","1087","1154","1279",,,,,,,,,,,,,,,,,,,
"423","CASAMENTO EM DAMBAITI","1003","1178","1230","1231","1276",,,,,,,,,,,,,,,,,,,
"424","SADHUS - OS SAGRADOS HOMENS DA ÍNDIA","1005","1217","1327","1530",,,,,,,,,,,,,,,,,,,,
"425","JOGADORES DE RUGBY (2º PROGRAMA)","1010","1092","1276","1353","1357","1462",,,,,,,,,,,,,,,,,,
"426","TIM","1013","1072","1097","1239","1289","1504","1530",,,,,,,,,,,,,,,,,
"427","FIM DO MURO DE BERLIM, O","1014","1048","1114","1147","1177","1271","1342","1351","1504","1593","1594",,,,,,,,,,,,,
"428","RUAS MODESTAS","1015","1074","1154","1206","1289","1337","1504",,,,,,,,,,,,,,,,,
"429","TOURADA","1016","1086","1230","1284","1504",,,,,,,,,,,,,,,,,,,
"430","LEVAMOS O MELHOR DE AMBOS OS MUNDOS","1017","1092","1116","1162","1165","1214","1280","1351","1504",,,,,,,,,,,,,,,
"431","CASAMENTO DE SARAH, O","1018","1091","1204","1214","1215","1231","1323",,,,,,,,,,,,,,,,,
"432","MUDANDO O RUMO","1019","1159","1165","1239","1351","1356","1613","1731",,,,,,,,,,,,,,,,
"433","GUERRA DA PEPSI, A","1020","1108","1178","1271","1489","1634",,,,,,,,,,,,,,,,,,
"434","SOB A CONDIÇÃO DE QUE SEJAM MUÇULMANAS","1021","1079","1097","1116","1162","1214","1289","1351","1504",,,,,,,,,,,,,,,
"435","CENAS DE UM MUSEU","1022","1052","1079","1116","1169","1278","1504",,,,,,,,,,,,,,,,,
"436","VOLTA AS ORIGENS","1023","1044","1124","1133","1206","1289","1504","1530",,,,,,,,,,,,,,,,
"437","AL MASSOM, MULHERES MARAVILHOSAS","1024","1116","1162","1165","1206","1214","1271","1289","1504",,,,,,,,,,,,,,,
"438","CINEMA PEDREGAL","1025","1036","1147","1298","1538",,,,,,,,,,,,,,,,,,,
"439","CASAMENTO NO PAQUISTÃO, UM","1026","1214","1230","1231","1413","1549","1599",,,,,,,,,,,,,,,,,
"440","HOJE É DIA DO DIA DO CIGANO","1027","1051","1116","1213","1230","1289","1504",,,,,,,,,,,,,,,,,
"441","CAFUSOS DO RIO LAISZ, OS - UM DOCUMENTO ETNOGRÁFICO EM VÍDEO","1028","1044","1109","1136","1138","1271","1369","1391",,,,,,,,,,,,,,,,
"442","RONDON - O SENTIMENTO DA TERRA","1029","1043","1092","1113","1193","1197","1198","1279","1409","1419","1433","1543","1556","1636",,,,,,,,,,
"443","JARDIM ANTÁRTICA","1031","1110","1170","1393",,,,,,,,,,,,,,,,,,,,
"444","PLANETA DOS MACACOS, O","1032","1085","1271","1351","1647",,,,,,,,,,,,,,,,,,,
"445","BRASIL DOS VIAJANTES, O","1033","1113","1133","1279","1306","1402",,,,,,,,,,,,,,,,,,
"446","TERRA DA LUA","1034","1042","1125","1263","1380",,,,,,,,,,,,,,,,,,,
"447","RODA VIVA : DARCY RIBEIRO","1035","1006","1054","1079","1176","1193","1279","1562",,,,,,,,,,,,,,,,
