nid,title,SGA ACERVO IMAGEM,SGA ACERVO IMAGEM,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,,
3158,BO-BORORO-0085,005934,5934,20,126,413,471,,,,, , , , , , , , ,,,,,,,,5934
3159,BO-BORORO-0086,005935,5935,283,413,471,730,,,,, , , , , , , , ,,,,,,,,5935
3160,BO-BORORO-0087,005936,5936,263,413,471,,,,,, , , , , , , , ,,,,,,,,5936
3161,BO-BORORO-0088,005937,5937,172,413,471,,,,,, , , , , , , , ,,,,,,,,5937
3162,BO-BORORO-0089,005938,5938,151,266,413,471,,,,, , , , , , , , ,,,,,,,,5938
3163,BO-BORORO-0090,005939,5939,62,413,471,,,,,,232,,,, , , , ,,,,,,,,5939
3164,BO-BORORO-0091,005940,5940,62,413,471,,,,,, , , , , , , , ,,,,,,,,5940
3165,BO-BORORO-0092,005941,5941,119,172,413,471,,,,, , , , , , , , ,,,,,,,,5941
3166,BO-BORORO-0093,005942,5942,242,413,471,,,,,, , , , , , , , ,,,,,,,,5942
3167,BO-BORORO-0094,005943,5943,58,239,413,471,,,,, , , , , , , , ,,,,,,,,5943
3168,BO-BORORO-0095,005944,5944,239,471,,,,,,,413,,,, , , , ,,,,,,,,5944
3169,BO-BORORO-0096,005945,5945,62,413,471,730,,,,, , , , , , , , ,,,,,,,,5945
3170,BO-BORORO-0097,005946,5946,62,413,471,730,,,,, , , , , , , , ,,,,,,,,5946
3171,BO-BORORO-0098,005947,5947,62,413,471,730,,,,, , , , , , , , ,,,,,,,,5947
3172,BO-BORORO-0099,005948,5948,283,413,471,,,,,, , , , , , , , ,,,,,,,,5948
3173,BO-BORORO-0100,005949,5949,282,413,471,,,,,, , , , , , , , ,,,,,,,,5949
3174,BO-BORORO-0101,005950,5950,126,196,413,471,,,,, , , , , , , , ,,,,,,,,5950
3175,BO-BORORO-0102,005951,5951,126,413,471,,,,,, , , , , , , , ,,,,,,,,5951
3176,BO-BORORO-0103,005952,5952,413,471,,,,,,,94,,,, , , , ,,,,,,,,5952
3177,BO-BORORO-0104,005953,5953,413,471,,,,,,,94,,,, , , , ,,,,,,,,5953
3178,BO-BORORO-0105,005954,5954,59,114,413,471,,,,, , , , , , , , ,,,,,,,,5954
3179,BO-BORORO-0106,005955,5955,263,413,471,,,,,, , , , , , , , ,,,,,,,,5955
3180,BO-BORORO-0107,005956,5956,59,413,471,,,,,, , , , , , , , ,,,,,,,,5956
