nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
466,VIAJANDO PELO MODERNISMO (3º EPISÓDIO),1057,117,163,369,,,,,,,,,,,,,,,,,,,,
467,FIRTH SOBRE  FIRTH - REFLEXÕES DE UM ANTROPÓLOGO,1058,6,68,94,153,221,317,338,543,673,,,,,,,,,,,,,,
468,ESTILOS DE VIDA (2º PROGRAMA),908,53,94,101,113,172,186,223,239,296,309,355,485,549,570,571,573,574,,,,,,
469,CASA GRANDE E SENZALA,1060,87,94,95,117,120,186,227,231,305,439,,,,,,,,,,,,,
470,"SERTÕES, OS",1061,112,132,166,229,272,284,325,404,,,,,,,,,,,,,,,
471,"VIAGEM PESSOAL ATRAVÉS DO CINEMA NORTE AMERICANO COM M. SCORCESE, UMA (1º)",1062,36,49,118,153,314,382,,,,,,,,,,,,,,,,,
472,"VIAGEM PESSOAL ATRAVÉS DO CINEMA NORTE AMERICANO COM M. SCORCESE, UMA (2º)",1063,36,118,314,393,594,,,,,,,,,,,,,,,,,,
473,"VIAGEM PESSOAL ATRAVÉS DO CINEMA NORTE AMERICANO COM M. SCORCESE, UMA (3º)",1064,36,118,314,382,605,,,,,,,,,,,,,,,,,,
474,CINEMA IRLANDÊS - NÓS SOZINHOS?,1065,36,120,382,585,676,,,,,,,,,,,,,,,,,,
475,TIPICAMENTE BRITÂNICO - UMA VISÃO PESSOAL DO CINEMA BRITÂNICO DE STEPHEN FR,1066,36,120,317,382,543,585,,,,,,,,,,,,,,,,,
476,DUAS VEZES CINQUENTA ANOS DE CINEMA FRANCÊS,1067,36,347,382,543,585,,,,,,,,,,,,,,,,,,
477,CEM ANOS DE CINEMA VISTO POR NAGISA OSHIMA,1068,36,331,382,605,,,,,,,,,,,,,,,,,,,
478,ENSAIO PESSOAL SOBRE O CINEMA NA CORÉIA POR JANG SUN-WOO,1069,36,118,382,585,605,681,,,,,,,,,,,,,,,,,
479,CINEMA DE LÁGRIMAS,1070,4,36,38,305,525,577,579,,,,,,,,,,,,,,,,
480,"TERRA DE COLOMBO, A - INVASÃO (1º PROGRAMA)",1071,45,53,93,118,166,215,284,305,311,496,620,639,682,684,685,,,,,,,,
