"nid","title","field_documentos_","field_documentos_vagas"
3880,"Japonês IV - Fuyu",4105,4105
3882,"Japonês II – Natsu",4105,4105
3885,"Práticas de Leitura em Japonês",4105,4105
3887,"CURSO PREPARATÓRIO PARA N3 DO JLPT – PARTE 2",4105,4105
3888,"Clone of Inglês para Leitura de Textos I",4105,4105
3889,"Preparatório para IELTS",4105,4105
3893,"TED Talks e Compreensão Oral em Inglês",4105,4105
3900,"Inglês para apresentações orais (IRI)",4105,4105
3902,"Clone of Preparatório para TOEFL iBT (internet-based test)",4105,4105
3903,"CURSO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
3905,"Preparatório para TOEFL iBT (internet-based test) - curso de férias",4105,4105
3906,"Inglês em Contexto Acadêmico",4105,4105
3908,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3910,"Inglês para Prática Comunicativa - Nível 1 (antigo Inglês para Graduandos - nível 1)",4105,4105
3911,"Inglês para Prática Comunicativa - Nível 2 (antigo Inglês para Graduandos - Nível 2)",4105,4105
3912,"Inglês para Prática Comunicativa - Nível 3 (antigo Inglês para Graduandos - Nível 3)",4105,4105
3913,"Inglês para Leitura de Textos - Nível 2",4105,4105
3916,"Preparatório para TOEFL iBT (internet-based test) - 2º semestre 2019",4105,4105
3918,"Inglês para Leitura de Textos I",4105,4105
4038,"Curso de Férias: Preparatório para TOEFL",4105,4105
3990,"Curso de Férias: Inglês para apresentações orais",4105,4105
4033,"CURSO INTENSIVO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
4041,"Japonês I – Haru",4105,4105
4042,"Inglês para Prática Comunicativa - Nível 1",4105,4105
4044,"Japonês III – Aki",4105,4105
4046,"Preparatório para N3 do JLPT - Parte 1",4105,4105
4048,"CURSO INTENSIVO DE FÉRIAS: JAPONÊS ELEMENTAR - SAKURA",4105,4105
4049,"Práticas de Leitura em Japonês - Curso de Férias",4105,4105
4050,"Preparatório para IELTS (IRI)",4105,4105
4051,"Preparatório para TOEFL iBT (internet-based test)",4105,4105
4052,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
4053,"Inglês para Leitura de Textos I",4105,4105
4054,"Inglês para Leitura de Textos - Nível 2",4105,4105
4055,"Inglês em Contexto Acadêmico",4105,4105
4057,"Inglês para Prática Comunicativa - Nível 3",4105,4105
4059,"Inglês para Prática Comunicativa - Nível 2",4105,4105
4061,"Inglês para Compreensão oral de Palestras (Antigo TED Talks e Compreensão Oral em Inglês)",4105,4105
4065,"Inglês para apresentações orais",4105,4105
4066,"Preparatório para IELTS -curso de férias",4105,4105
4067,"Minicurso: Inglês oral para funcionários",4105,4105
