Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0853,"PEÑA, Rafael Rangel de la",Tratado del Gerundio,,,Editorial Jus,1955,México,,Livro,,99p.,,
AB0854,,,Staff Research in Progress or Recently Completed in the Humanities and the Social Sciences  ,,Institute of Latin American Studies - University of London,1969-1970,Londres-Inglaterra,,Índice,n.2,16p.,,
AB0855,,,Staff Research in Progress or Recently Completed in the Humanities and the Social Sciences  ,,Institute of Latin American Studies - University of London,1970-1971,Londres-Inglaterra,,Índice,n.3,18p.,,
AB0856,,,Staff Research in Progress or Recently Completed in the Humanities and the Social Sciences  ,,Institute of Latin American Studies - University of London,1975-1976,Londres-Inglaterra,,Índice,n.8,27p.,,
AB0857,"HANCOCK, Richard H.",The role of the bracero in the economic and cultural dynamics of Mexico. A case study of Chihuahua.,,,Hispanic American Society,1959,Stanford - EUA,,Livro,,146p.,,
AB0858,"OLMSTEAD, Clifon E.",Religion in America: Past and Present,,Religião - História (América),Prentice Hall Inc.,1961,EUA,,Livro,,172p.,,
AB0859,,,Revista da Faculdade de Filosofia da Paraíba ,,Universi-dade da Paraíba,1959-1964,João Pessoa - Paraíba,,Revista,"v.2, n.4",247p.,,
AB0860,,,Revista Interamericana de Ciências Sociales  ,,Unión Panamericana,1961,Washington-EUA,,Revista,"v.1, n.1",222p.,,
AB0861,,,Revista Interamericana de Bibliografia,,Unión Panamericana,jul.-set./1956,Washington-EUA,,Revista,"v.6, n.3",306p.,,
AB0862,,,Revista Interamericana de Bibliografia,,Unión Panamericana,jul.-set./1972,Washington-EUA,,Revista,"v.22, n.3",350p.,,
AB0863,,,Revista Interamericana de Bibliografia,,Unión Panamericana,1975,Washington-EUA,,Índice,v.25,p.497-528,,
AB0864,,,Revista Interamericana de Bibliografia,,Unión Panamericana,1976,Washington-EUA,,Índice,v.26,p.521-574,,
AB0865,,,Revista Interamericana de Bibliografia,,Unión Panamericana,abr.-jun./1976,Washington-EUA,,Revista,"v.26, n.2",265p.,,
AB0866,,,Revista Interamericana de Bibliografia,,Unión Panamericana,jul.-set./1976,Washington-EUA,,Revista,"v.26, n.3",p.266-387,,
AB0867,,,Revista Interamericana de Bibliografia,,Unión Panamericana,out.-dez./1976,Washington-EUA,,Revista,"v.26, n.4",p.388-548,,
AB0868,,,Revista Interamericana de Bibliografia,,Unión Panamericana,abr.-jun./1977,Washington-EUA,,Revista,"v.27, n.2",p.123-222,,
AB0869,,,Revista Cámara de Comercio de Bogotá,,El Catolicismo,jun./1976,Bogotá-Colômbia,,Revista,"ano 6, n.23",166p.,,
AB0870,,,Revista Cámara de Comercio de Bogotá,,El Catolicismo,jun./1978,Bogotá-Colômbia,,Revista,"ano 9, n.30-37",265p.,,
AB0871,"REBER, Vera Blinn",Commerce and Industry in nineteenth century Paraguay,The Americas,"Economia (Paraguai, século XIX); Comércio (Paraguai, século XIX); Industria (Paraguai, século XIX); História (Paraguai, século XIX).",Academy of American Franciscan History,jul./1985,Washington-EUA,,Separata,"v.62, n.1",53p.,,
AB0872,"REBER, Vera Blinn",Utilizing french sources in Paris for latin american historical research,Lartin American Research Review,,,1982,[EUA],,Separata,"v.17, n.2",p.171-177,,
AB0873,"CAMÕES, Luis de ",Os Lusíadas,,, Xerox do Brasil: Fundação Biblioteca Nacional,1995,Rio de Janeiro - RJ,,Livro,,192p.,Obra fac-similar,
AB0874,"REBER, Vera Blinn","British Mercantile Houses in Buenos Aires, 1810-1880",,"Grã Bretanha (comércio); República Argentina (História); República Argentina, sistema mercantil (História); Mercadores, República Argentina (História); Mercadores, Grã Bretanha (História); ",Harvard University Press,1979,Harvard - EUA,,Livro,,206p.,,
AB0875,"DEMARTINI, Z. de B. F.; LANG, A B. da S. G. ",Educando para o trabalho: família e escola como agências educadoras,,,Edições Loyola,1985,São Paulo-SP,,Livro,,205p.,,
AB0876,,,Universidad de San Carlos,,Imprenta Universitaria,jan.-jun./1966,Guatemala,,Revista,n.68,237p.,,
AB0877,,,Cadernos de História,,PUC - Minas,jun./1997,Belo Horizonte - MG,,Revista,"v.2, n.2",63p.,,
AB0878,,,Boletim CDAPH,História da Educação Brasileira.,CDAPH-USF,jul.-dez./1998,Bragança Paulista - SP,,Boletim,"v.1, n.2",110p.,,
AB0879,"CRUZ, Walter Monte da (org.)",Catálogo bibliográfico mato-grossense,,,NDIHR - Fundação Universidade Federal de Mato Grosso,1980,Mato Grosso,,Catálogo,,,,
AB0880,,,Revista da Academia Paulista de História,,Academia Paulista de História,1982,São Paulo - SP,,Revista,n.2,257p.,,
AB0881,,,Na Imprensa,,,abr./1994,São Paulo - SP,,Revista,"ano 3, n.6",,,
AB0882,"MAURO, J. M. E. (coord.)",S/A Central Elétrica Rio Claro,,Energia elétrica - histórico (São Paulo - SP),CESP/ IEB-USP,1986,São Paulo - SP,,Livro,n.1,105p.,Publicação da série Fascículos da História da Energia Elétrica em São Paulo,
AB0883,"The São Paulo Tramway, Light and Power Company, Ltd. ","Cinquënta anos de progresso com São Paulo, 1900-1950 ",,,Graphicars - F. Lanzara,[1950],São Paulo - SP,,Livro,,,,
AB0884,,,História & Energia,,DPH Eletropaulo,1995,São Paulo - SP,,Revista ,n.5,151p.,Acompanha mais 1 exemplar.,
AB0885,,,Memória ,,DPH Eletropaulo,out.-dez./1992,São Paulo - SP,,Revista ,"ano 4, n.16",74p.,,
AB0886,,,Memória ,,DPH Eletropaulo,jan.-mar./1993,São Paulo - SP,,Revista ,"ano 5, n.17",98p.,,
AB0887,,,Memória ,,DPH Eletropaulo,1995,São Paulo - SP,,Revista ,n.21,80p.,Acompanha mais 1 exemplar.,
AB0888,,,Memória ,,DPH Eletropaulo,1995,São Paulo - SP,,Revista ,n.22,78p.,,
AB0889,,,Memória ,,DPH Eletropaulo,s.d.,São Paulo - SP,,Revista ,"ano 1, n.1",34p.,,
AB0890,,,Memória ,,DPH Eletropaulo,abr.-jun./1990,São Paulo - SP,,Revista ,"ano 3, n.7",54p.,Acompanha mais 1 exemplar.,
AB0891,,,Memória ,,DPH Eletropaulo,abr.-jun./1992,São Paulo - SP,,Revista ,"ano 4, n.14",70p.,Acompanha mais 1 exemplar.,
AB0892,,,Memória ,,DPH Eletropaulo,jul.-set./1992,São Paulo - SP,,Revista ,"ano 4, n.15",78p.,Acompanha mais 1 exemplar.,
AB0893,,,Memória ,,DPH Eletropaulo,abr.-jun./1993,São Paulo - SP,,Revista ,"ano 5, n.18",66p.,,
AB0894,,,Memória ,,DPH Eletropaulo,jan.-set./1995,São Paulo - SP,,Revista ,"ano 6, n.21",94p.,,
AB0895,,,Cadernos de História e Saúde,,Casa de Oswaldo Cruz,1992,São Paulo - SP,,Caderno,n.2,199p.,,
AB0896,"COUTINHO, Marília",Contribuições para uma arqueologia do conceito de comunidade biológica,Estudos de História e Saúde,,Casa de Oswaldo Cruz,ago./1992,São Paulo - SP,,Caderno,n.4,24p.,,
AB0897,"PAULA, Sergio Goes de ",Canudos: um relato de viagem,Estudos de História e Saúde,,Casa de Oswaldo Cruz,jan./1993,São Paulo - SP,,Caderno,n.5,20p.,,
AB0898,,,Horizontes,História social das idéias - dossiês,Núcleo Paulista de Publicação e Divulgação Científica da PROPEP/ EDUSF,1998,Bragança Paulista - SP,,Revista,v.16,148p.,Acompanha mais 1 exemplar.,
AB0899,,,Arquivo Rio Claro,,Arquivo Público e Histórico do Município de Rio Claro,jan./1982,Rio Claro - SP,,Boletim,"v.1, n.1",32p.,,
AB0900,,,Arquivo Rio Claro,,Arquivo Público e Histórico do Município de Rio Claro,jul./1982,Rio Claro - SP,,Boletim,"v.1, n.2",p.33-52,,
AB0901,,,Arquivo Rio Claro,,Arquivo Público e Histórico do Município de Rio Claro,jan./1983,Rio Claro - SP,,Boletim,"v.2, n.1",20p.,,
AB0902,Grêmio Estudantil Machado de Assis (GEMA) ,,Início,,"GEMA - Colégio Estadual ""Santos Dumont""",nov./1963,Ribeirão Preto-SP,,[Boletim],"ano 1, n.1",,,
AB0903,,,Boletim Informativo,,"Setor de Documenta-ção, DH, FFLCH-USP",1976,São Paulo-SP,,Boletim,"ano 3, n.3",85p.,,
AB0904,,,Boletim Informativo,,"CAPH, DH, FFLCH-USP",1985,São Paulo-SP,,Boletim, n.1,31p.,Acompanha mais 1 exemplar.,
AB0905,,,Boletim Informativo,,"CAPH, DH, FFLCH-USP",1989,São Paulo-SP,,Boletim,"ano 15, n.5",64p.,,
AB0906,,,Boletim Informativo,,"CAPH, DH, FFLCH-USP",1990,São Paulo-SP,,Boletim,"ano 16, n.6",47p.,,
AB0907,,,Boletim Informativo,,"CAPH, DH, FFLCH-USP",1991,São Paulo-SP,,Boletim,"ano 17, n.7",39p.,,
AB0908,,,Boletim Informativo,,"CAPH, DH, FFLCH-USP",1992,São Paulo-SP,,Boletim,"ano 18, n.8",8p.,,
AB0909,,,Ciência e cultura,,SBPC,mar.-abr./1990,São Paulo-SP,,Revista,"v.42, n.3-4",312p.,,
AB0910,,,Ciência e cultura,,SBPC,mai.-jun./1990,São Paulo-SP,,Revista,"v.42, n.5-6",412p.,,
AB0911,,,Ciência e cultura. Índice alfabético dos artigos e comunicações do v.41,,SBPC,1990,São Paulo-SP,,Índice,v.41,14p.,,
AB0912,,Curso de Pós-Graduação em Desenvolvimento Agrícola,,,Instituto de Ciências Humanas e Sociais/ DLCS - Universidade Federal Rural do Rio de Janeiro,1989/1990,Rio de Janeiro - RJ,,Caderno,,42p.,,
AB0913,Secção de Bibliografia e Referência,Obras de Referência Existentes na Biblioteca Central da USP,,,Biblioteca Central - USP,1967,São Paulo-SP,,Catálogo,,190p.,,
AB0914,"SAMPAIO, M. de L.; CAMARGO, C. de (coord.)",Guia de obras de referência brasileiras,,,Biblioteca Central - USP,1967,São Paulo-SP,,Guia,,67p.,,
AB0915,,O Instituto de Filosofia e Ciências Humanas da Universidade Estadual de Campinas: sua estrutura e atividades de pesquisa,,,IFCH-Unicamp,1973,Campinas - SP,,[Relatório],,24p.,,
AB0916,,World microfilms publications. 1974 microform catalogue,,Microfilmes,,1974,Londres-Inglaterra,,Catálogo,,21p.,,
AB0917,,Microfilms 1973-1974,,Microfilmes,Hoover Institution Press,1974,Stanford - EUA,,Catálogo,,36p.,,
AB0918,,Catalog of National Archives Microfilm Publications,,Microfilmes,National Archives Trust Fund Board/ National archives and Records Service/ General Services Admnistration,1974,Washington-EUA,,Catálogo,,185p.,,
AB0919,"Superintendência de Comunicação, DPH - Eletropaulo",Relatório de Atividades - 1985,,,DPH -Eletropaulo,1985,São Paulo-SP,,Relatório,,31p.,,
AB0920,,,Microformas,Microfilmes,Kodak,jun./1977,São Paulo-SP,,Revista,n.1,14p.,,
AB0921,,,Microformas,Microfilmes,Kodak,jan./1978,São Paulo-SP,,Revista,n.2,14p.,,
AB0922,,,Imagem e Comunicação,Cinema; televisão e audiovisual,Kodak,dez./1977,São Paulo-SP,,Revista,n.7,14p.,,
AB0923,,,Revista Brasileira do Microfilme,Microfilmes,Associação Brasileira do Microfilme,jan.-fev./1978,São Paulo-SP,,Revista,"ano 1, v.1, n.1",34p.,,
AB0924,,,Revista Brasileira de História,Migrações (dossiê),"ANPUH/ Humanitas, FFLCH-USP",1997,São Paulo-SP,,Revista,"n.17, n.34",250p.,,
AB0925,"NOVINSKY, Anita; CARNEIRO, Maria L. T. (org.)","Inquisição: ensaios sobre mentalidade, heresias e arte",,1987: São Paulo e Lisboa,Edusp,1992,São Paulo-SP,,Anais,,793p.,,
AB0926,,,Notícia Bibliogáfica e Histórica,,PUC-Campinas,jul.-set./1998,Campinas - SP,,Revista,"ano 30, n.170",p.205-311,,
AB0927,,,Guia de Referências para Estudo e Pesquisa,Negro,Secretaria Municipal de Cultura,nov./1992,São Paulo-SP,,Guia,n.1,,,
AB0928,"MOREIRA, Alberto et. al.",Economia Regional: Bragança Paulista,Cadernos do IFAN,Bragança Paulista; Economia; Preservação Ambiental; Internacionalização; Impacto ambiental; apicultura; meio ambiente.  ,EDUSF,1997,São Paulo-SP,,caderno,n.17,108p.,,
AB0929,"BOFF, Leonardo; BERNARDI, Orlando; MOREIRA, Alberto",Franciscanismo e pós-modernidade,Cadernos do IFAN,Fraciscanismo; pós modernidade,EDUSF,1997,São Paulo-SP,,caderno,n.18,81p.,,
AB0930,"LANG, Alice Beatriz da Silva Gordo ","Adolpho Gordo, Senador da Primeira República: representação e sociedade ",,,Senado Federal,1989,Brasília - DF,,livro,,303p.,,
AB0931,,,Cadernos de Teoria e Crítica Literária,,UNESP,1990,Araraquara-SP,,Caderno,n.18,205p.,,
AB0932,,,Revista de História,,USP/ Sociedade de Estudos Históricos,abr.-jul./1967,São Paulo-SP,,Revista,"ano 18, v.34, n.70",p.321-640,,
AB0933,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jul.-set./1992,Campinas - SP,,Revista,"ano 24, n.147",316p.,,
AB0934,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jan.-mar./1997,Campinas - SP,,Revista,"ano 29, n.164",106p.,,
AB0935,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,out.-dez./1997,Campinas - SP,,Revista,"ano 29, n.167",p.288-377,,
AB0936,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jan.-mar./1998,Campinas - SP,,Revista,"ano 30, n.168",100p.,,
AB0937,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,abr.-jun./1998,Campinas - SP,,Revista,"ano 30, n.169",p.101-202,,
AB0938,,Sociedade Brasileira de pesquisa Histórica (SBPH). Anais da IV Reunião.,,Gilberto Freyre (homenagem),SBPH,1987,São Paulo-SP,,Anais,,221p.,,
AB0939,"BRITTO, Nara (coord.)",Memória de Manguinhos. Acervo de depoimentos.,,Ciências biomédicas-história-Brasil; Saúde pública-história-Brasil; Instituições científicas-história-Brasil; Cientistas - biografia; Técnicos - Biografia.,Casa de Oswaldo Cruz,1991,Rio de Janeiro - RJ,,Livro,,120p.,,
AB0940,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jul.-dez./1991,Campinas - SP,,Boletim,"v.3, n.6",78p.,Acompanha 1 exemplar e editorial referente ao período de set.-dez./1991.,
AB0941,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jan.-jun./1990,Campinas - SP,,Boletim,"v.2, n.3",60p.,,
AB0942,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jul.-dez/1990,Campinas - SP,,Boletim,"v.2, n.4",80p.,,
AB0943,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jan.-jun./1991,Campinas - SP,,Boletim,"v.3, n.5",65p.,,
AB0944,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jan.-dez./1992,Campinas - SP,,Boletim,"v.4, n.7-8",145p.,,
AB0945,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jan.-jun./1993,Campinas - SP,,Boletim,"v.5, n.9",114p.,Acompanha 1 exemplar.,
AB0946,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jul.-dez./1993,Campinas - SP,,Boletim,"v.5, n.10",156p.,Acompanha 1 exemplar.,
AB0947,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jan.-jun./1994,Campinas - SP,,Boletim,"v.6, n.11",150p.,,
AB0948,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jul.-dez./1994,Campinas - SP,,Boletim,"v.6, n.12",136p.,,
AB0949,,,Boletim do Centro de Memória (Unicamp),Arquivos (documentação),Unicamp,jan.-jun./1995,Campinas - SP,,Boletim,"v.7, n.13",198p.,Número especial sobre Carlos Gomes.,
AB0950,,,Revista de História,,FFLCH-USP,jul.-set./1969,São Paulo-SP,,Revista,"v.39, n.79",256p.,,
AB0951,,,Revista da Faculdade de Filosofia da Paraíba ,,Universi-dade da Paraíba,1956-58,João Pessoa - Paraíba,,Revista,"v.1, n.3",182p.,,
AB0952,"ASSIS, Edvaldo de.; NOGUEIRA, M. M. de A",Inventário analítico: correspondência do 2o. Governador e capitão-general da capitania de Mato Grosso,,,NDIHR - Universi-dade Federal de Mato Grosso,1991,Cuiabá-MT,,Inventário,,20p.,,
AB0953,"Fundação Universidade Federal de Mato Grosso, Coordenação de Cultura, NDIHR",Alfândega de Corumbá,,Ministério da Fazenda - Documentação - Arquivos.,Ministério da Fazenda,1988,Brasília - DF,,Inventário,,25p.,,
AB0954,,,Boletim Informativo ,Escravidão - documentos.,NDIHR - Universi-dade Federal de Mato Grosso,set./1988,Cuiabá-MT,,Boletim,n.2,69p.,,
AB0955,"CALHÃO, A E. P.; MORGADO, E. M. O; MORAES S. de  ",Periódicos mato-grossenses em microformas: catálogo de revistas e jornais,,Guia de periódicos mato-grossenses; periódicos mato-grossenses - guia - catálogos; Periódicos em microformas.,"Editora Universitária da Universidade Federal de Mato Grosso, NDIHR.",1994,Cuiabá-MT,,,,104p.,,
AB0956,,,Boletim Informativo ,Mato Grosso - Bibliografia - NDIHR,NDIHR - Universi-dade Federal de Mato Grosso,ago./1987,Cuiabá-MT,,Boletim,n.1,73p.,,
AB0957,,,Comunicarte,,PUC-Campinas,1987,Campinas - SP,,Revista,"v.5, n.9-10",224p.,,
AB0958,,,Comunicarte,,PUC-Campinas,1988,Campinas - SP,,Revista,"v.5, n.11-12",220p.,,
AB0959,,,Lua Nova. Revista de Cultura e Política ,América Latina - transições políticas ,Centro de Estudo de Cultura Contemporânea.,mar./1989,São Paulo ,,Revista,n.16,221p.,"Número especial sobre ""Transições Políticas na América Latina""",
AB0960,,,Lua Nova. Revista de Cultura e Política ,Movimentos Sociais - Conceitos,Centro de Estudo de Cultura Contemporânea.,jun.1989,São Paulo ,,Revista,n.17,206p.,"Número especial sobre ""Transições Políticas na América Latina""",
AB0961,"TORRES, Artemis",Mato Grosso em movimentos: ensaios de educação popular.,,Educação popular; Educação popular - Mato Grosso; Movimentos sociais.,EdUFMT,1994,Cuiabá-MT,,Livro,,353p.,,
AB0962,,,Revista de Educação Pública,,UFMT,jul.-dez./1994,Cuiabá-MT,,Revista,"v.3, n.4",291p.,,
AB0963,"TAUNAY, Affonso de E.",História Colonial da Cidade de São Paulo no século XIX (1801-1822),,,Depto. de Cultura,1956,São Paulo -SP,,Livro,v.3,479p.,,
AB0964,"TAUNAY, Affonso de E.",História Colonial da Cidade de São Paulo sob o Império (1822-1831),,,Depto. de Cultura,1956,São Paulo -SP,,Livro,v.4,495p.,,
AB0965,"TAUNAY, Affonso de E.",História Colonial da Cidade de São Paulo sob o Império (1831-1842),,,Depto. de Cultura,1956,São Paulo -SP,,Livro,v.5,445p.,,
AB0966,"TAUNAY, Affonso de E.",História Colonial da Cidade de São Paulo sob o Império (1842-1854),,,Depto. de Cultura,1956,São Paulo -SP,,Livro,v.6,438p.,,
AB0967,"MIRRA, Elisabeth Conceta",O catálogo da coleção Greenlee,Revista de História,,"DH, FFLCH-USP",1974,São Paulo -SP,,Separata,n.97,p.271-281,,
AB0968,"RODRIGUES, M. R. da C.",Relação de 134 códices valiosos para uma eventual história local de Santana do Parnaíba (1660-1932),Revista de História,,"DH, FFLCH-USP",1961,São Paulo -SP,,Separata,n.48,p.379-92,,
AB0969,"RODRIGUES, M. R. da C.",O departamento do Arquivo do Estado de São Paulo ,Revista de História,,"DH, FFLCH-USP",1962,São Paulo -SP,,Separata,n.50,p.475-94,,
AB0970,"RODRIGUES, M. R. da C.",As fontes primárias para a história no Estado de São Paulo,Revista de História,,"DH, FFLCH-USP",1963,São Paulo -SP,,Separata,n.53,p.165-76,,
AB0971,"RODRIGUES, M. R. da C.",As fontes para a história do Pôrto de Cananéia ,Revista de História,,"DH, FFLCH-USP",1965,São Paulo -SP,,Separata,n.61,p.191-220,,
AB0972,"GODECHOT, Jacques","As grandes correntes da historiografia da Revolução Francesa, de 1789 aos nossos dias ",Revista de História,,"DH, FFLCH-USP",1969,São Paulo -SP,,Separata,n.80,p.423-70,,
AB0973,"RODRIGUES, M. R. da C.",O V Simpósio Nacional de Professores Universitários de História,Revista de História,,"DH, FFLCH-USP",1969,São Paulo -SP,,Separata,n.80,p.379-95,,
AB0974,"RODRIGUES, M. R. da C.",A morte da imperatriz Leopoldina (11-XII-1826),Revista de História,,"DH, FFLCH-USP",1971,São Paulo -SP,,Separata,n.88,p.345-52,,
AB0975,"RODRIGUES, M. R. da C.",A rede dos presídios goianos e sua importância em termos de colonização,Revista de História,,"DH, FFLCH-USP",1976,São Paulo -SP,,Separata,n.105,p.247-57,Consta mais um exemplar.,
AB0976,,,Revista de História,,"DH, FFLCH-USP",1990,São Paulo -SP,,Revista,n.122,194p.,,
AB0977,,,Revista de História,,"DH, FFLCH-USP",1974,São Paulo -SP,,Índice,n.1-40,347p.,,
AB0978,"RODRIGUES, M. R. da C.",O VII Simpósio Nacional de Professores Universitários de História,Anais do VII Simpósio Nacional dos Professores Universitários de História,,,1974,São Paulo -SP,,Separata,,p.7-80,,
AB0979,"FRAZÃO, E. R. de A",Levantamento bibliográfico de artigos de periódicos especializados referentes ao norte da África Romana,Anais do VII Simpósio Nacional da Anpuh,,,1974,São Paulo -SP,,Separata,,p.1095-1131,,
AB0980,"MOTA, Carlos Guilherme",Mudanças sociais e estruturas mentais no Brasil (1779-1945),Anais do VII Simpósio Nacional da Anpuh,,,1974,São Paulo -SP,,Separata,,p.937-77,Projeto de pesquisa da disciplina História Social das Idéias no Brasil.,
AB0981,,Estatuto da Universidade de São Paulo,,,FFLCH-USP,1970,São Paulo -SP,,Estatuto,,37p.,,
AB0982,,Universidade de São Paulo: Estatuto ,,,USP,1988,São Paulo -SP,,Estatuto,,50p.,,
AB0983,,Portaria GR. n.885,,,FFLCH-USP,1970,São Paulo -SP,,Portaria,,8p.,,
AB0984,,Memorial sobre a reestruturação da Universidade de São Paulo,,,FFLCH-USP,27/06/1968,São Paulo -SP,,Memorial,,39p.,,
AB0985,,Regulamento dos Cursos de Pós Graduação,,,FFLCH-USP,1970,São Paulo -SP,,Regulamento,,22p.,,
AB0986,,Regimento Geral (USP),,,USP,1990,São Paulo -SP,,Regimento,,91p.,,
AB0987,,Estatuto da USP: É hora de mudar?,,,ADUSP,mai./1995,São Paulo -SP,,[Livro],,114p.,Simpósio Adusp.,
AB0988,,Cursos de Pós Graduação. Regulamentos. Regimentos.,,,FFLCH-USP,1966,São Paulo -SP,,Regulamento/ Regimento,,63p.,,
AB0989,,Cristóbão Colombo e Johann Staden: um diálogo no mundo dos mortos ,,"Literatura alemã - séc. 18; América - Descobrimento e exploração - século XV - Ficção; Brasil - História - Período Colonial; Ficção; Colombo, Cristoforo (1451-1506); Staden, Hans (m.1576); Fassmann, David (1685-1744) ",IEB-USP,1992,São Paulo -SP,,Livro,,78p.,"Edição fac-similar de: Curieuses und besonders Gespraeche in Reiche derer Todten, zwischen Christoforo Columbo, als dem bereuhmten Erfinder neuen Welt, und Johann Staden",
AB0990,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jun.-jun./1994,São Paulo -SP,,Revista ,"ano 26, n.153-4",270p.,,
AB0991,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jul-dez./1994,São Paulo -SP,,Revista ,"ano 26, n.155-6",p.271-450,,
AB0992,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jul-set./1995,São Paulo -SP,,Revista ,"ano 27, n.158",p.181-268,,
AB0993,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,out.-dez./1995,São Paulo -SP,,Revista ,"ano 27, n.159",p.269-360,,
AB0994,,,Notícia Bibliográfica e Histórica,,PUC-Campinas,jul.-set./1996,São Paulo -SP,,Revista ,"ano 28, n.162",p.193-288,,
AB0995,,,Acervo Histórico,,Assembléia Legislativa do Estado de São Paulo,1o. sem./2004,São Paulo -SP,,Revista ,n.1,69p.,,
AB0996,,,ARCA - Revista de Divulgação do Arquivo Histórico de Campo Grande,,Prefeitura Municipal de Campo Grande,2002,Campo Grande - MS,,Revista ,n.8,64p.,,
AB0997,,Escravidão. Congresso Internacional ,,,USP,1988,São Paulo-SP,,Catálogo (programa-ção e resumos),,289p.,,
AB0998,Secretaria da Educação. Estado do Rio Grande do Sul,"Catálogos dos documentos sob as rúbricas ""Autoridades Militares"", ""Comando das Armas"" e ""Livros Manuscritos"". ",,,Livraria do Globo,1941,Porto Alegre - RS,,Catálogo ,,122p.,,
AB0999,,Seminário de Ficção Mineira II: De Guimarães Rosa aos nossos dias,,,Conselho Estadual de Cultura de Minas Gerais,1983,Belo Horizonte - MG,,Seminário,,258p.,,
AB1000,,II Seminário sobre Cultura Mineira (Período Contemporâneo),,,Conselho Estadual de Cultura de Minas Gerais,1980,Belo Horizonte - MG,,Seminário,,184p.,,
AB1001,,Seminário sobre a Poesia Mineira - Período Colonial,,,Conselho Estadual de Cultura de Minas Gerais,1984,Belo Horizonte - MG,,Seminário,,205p.,,
AB1002,,"Seminário Carlos Drumond de Andrade - 50 anos de ""Alguma Poesia""",,,Conselho Estadual de Cultura de Minas Gerais,1981,Belo Horizonte - MG,,Seminário,,114p.,,
AB1003,,Seminário João Alphonsus. A Ficção Mineira de Bernardo Guimarães aos Primeiros Modernistas,,,Conselho Estadual de Cultura de Minas Gerais,1982,Belo Horizonte - MG,,Seminário,,194p.,,
AB1004,"MOURA, Irineu de","A pintura de Cueco, os cães, o fim do mundo",Série arte e cultura: Publicações avulsas,"Cães na arte; Cueco, Henri, 1929-; Fim do mundo na literatura",Unesp,1984,São Paulo-SP,,[livreto],n.6,16p.,,
AB1005,"BAZILLI, Roberto Ribeiro",Dois estudos de direito administrativo,Série arte e cultura: Publicações avulsas,Direito administra-tivo; justiça administra-tiva; tutela administrati-va,Unesp,1984,São Paulo-SP,,[livreto],n.7,16p.,,
AB1006,"MACHADO, Luís Toledo",O processo literário,Série arte e cultura: Publicações avulsas,Literatura - história e crítica; Literatura brasileira - história e crítica; Teoria literária,Unesp,1985,São Paulo-SP,,[livreto],n.8,74p.,,
AB1007,"ZAPRONHA, Maria de Lourdes S.",Da música como recurso terapêutico,Série arte e cultura: Publicações avulsas,Música terapêutica,Unesp,1985,São Paulo-SP,,[livreto],n.9,54p.,Apresentada originalmente como monografia de concuso de admissão à Academia Nacional de Música.,
AB1008,,,Revista do Arquivo Municipal,,Prefeitura do Município de São Paulo,abr./1939,São Paulo-SP,,Revista,"ano 5, v.56",268p.,,
AB1009,,,Revista do Arquivo Municipal,,Prefeitura do Município de São Paulo,fev./1940,São Paulo-SP,,Revista,"ano 6, v.64",416p.,,
AB1010,,,Revista do Arquivo Municipal,,Prefeitura do Município de São Paulo,ago.-set./1941,São Paulo-SP,,Revista,"ano 7, v.78",364p.,,
AB1011,,,Revista do Arquivo Municipal,,Prefeitura do Município de São Paulo,nov.-dez./1941,São Paulo-SP,,Revista,"ano 7, v.80",364p.,,
AB1012,"SILVA, De Plácido e",Vocabulário Jurídico,,"Direito-Brasil-Vocabulários, glossários.",Forense,1993,Rio de Janeiro - RJ,ed.12,Vocabulário,v.1,597p.,,
AB1013,"SILVA, De Plácido e",Vocabulário Jurídico,,"Direito-Brasil-Vocabulários, glossários.",Forense,1993,Rio de Janeiro - RJ,ed.12,Vocabulário,v.2,526p.,,
AB1014,"SILVA, De Plácido e",Vocabulário Jurídico,,"Direito-Brasil-Vocabulários, glossários.",Forense,1993,Rio de Janeiro - RJ,ed.12,Vocabulário,v.3,507p.,,
AB1015,"SILVA, De Plácido e",Vocabulário Jurídico,,"Direito-Brasil-Vocabulários, glossários.",Forense,1993,Rio de Janeiro - RJ,ed.12,Vocabulário,v.4,513p.,,
