Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCB-13,"Brandão, Gildo Marçal Bezerra ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Ciência Política ,São Paulo,2004,106p. ,,Módulo 1      Cx. B-01
MCB-14,"Balbachevsky, Elizabeth",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na disciplina Análise comparada de políticas na área de ciência, tecnologia e inovação e Ensino Superior",Gabriel Cohn - DCP- FFLCH/ Eunice Ribeiro Durham - DA- FFLCH/ Darcy Closs - UFRGS/ Hélio Nogueira da Cruz - FEA-USP/ Flávio Fava de Moraes - ICB -USP ,Departamento de Ciência Política ,São Paulo,2005,58p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. B-01
MCB-15,"Barbosa, Wilson do Nascimento ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular de História Econômica ,Osvaldo Luis Angel Coggiola - DH-FFLCH/ José Jobson de Andrade Arruda - DH-FFLCH/ Maria Yedda Leite Linhares- UFRJ/ Flávio Azevedo Marques de Saes - FEA-USP/ Francisco José Calazans Falcon - UFF-RJ,Departamento de História ,São Paulo,2005,42p ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. B-01
MCB-16,"Bueno, Aparecida de Fátima ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente  na Área de Literatura Portuguesa, opção 2: gêneros e temas",Benjamin Abdala Junior - DLCV-FFLCH/ Elza Assumpção Miné - DLCV- FFLCH/ Yara Frateschi Vieira - UNICAMP /  Maria Lúcia Dal Farra- UFS/ Márcia Valéria Zamboni Gobbi - UNESP- Araraquara ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2010,51p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. B-01
MCB-17,"Bosi, Viviane",Memorial  + Currículo Lattes,,,[Departamento de Teoria Literária e Literatura Comparada],São Paulo,2011,66p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. B-01
MCB-18,"Baccin, Paola Giustina",Memorial + Currículo Lattes,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Italiana, disciplina de Língua Italiana",Ieda Maria Alves - DLCV-FFLCH/  Lucia Wataghin - DLM - FFLCH/ Claudia Zavaglia - UNESP/ Flora de Paoli Faria - UFRJ/ John Robert Schmitz - UNICAMP,Departamento de Letras Modernas ,São Paulo,2012,33p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. B-01
MCB-19,"Braga Neto, Ruy Gomes ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Sociologia do Trabalho ,Nadya Araújo Guimarães - DS-FFLCH/ Francisco Maria Cavalcanti de Oliveira - DS-FFLCH/ Ricardo Luiz Coltro Antunes - UNICAMP/ José Ricardo Garcia Pereira Ramalho - UFRJ/ jacob Carlos Lima - UFSCar,Departamento de Sociologia ,São Paulo,2012,27p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. B-01
MCB-20,"Barros, Alberto Ribeiro Gonçalves de",Memorial  + Currículo Lattes,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Ética e Filosofia Política I ,Maria das Graças de Souza - DF-FFLCH/ Marilena de Souza Chauí - DF-FFLCH/ Heloisa Maria Murgel Starling - UFMG/ Newton Bignotto - UFMG/ Renato de Andrade Lessa - UFF,Departamento de Filosofia ,São Paulo,2013,58p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. B-01
MCB-21,"Bertonha, João Fábio ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História do Brasil Independente,,não está ligado ao Depto. De História ,São Paulo,2013,26p. ,,
MCB-22,"Bolzani Filho, Roberto",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História da Filosofia Antiga ,Marco Antonio de Ávila Zingano -DF-FFLCH/ Franklin Leopoldo e Silva - DF-FFLCH/ Jacyntho José Lins Brandão - UFMG/ Maria das Graças de Moraes Augusto - UFRJ/ Marcelo Pimenta Marques - UFMG,Departamento de Filosofia ,São Paulo,2013,40p,Acompanha relatório final do concurso público. ,
