Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCN-11,"Novaes, Sylvia Caiuby ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de antropologia da Imagem ,John Cowart Dawsey - DA-FFLCH/ Maria Manuela Ligeti Carneiro da Cunha - DA-FFLCH/ Ana Maria de Moraes Belluzzo - FAU-USP/ Etienne Ghislain Samain - UNICAMP/ Domingos Tadeu Chiarelli - ECA-USP ,Departamento de Antropologia ,São Paulo,2010,98p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. N-01
MCN-12,"Nunes, Jairo Morais ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,Maria Cristina Fernandes Salles Altman - DL-FFLCH/ Esmeralda Vailati Negrão - DL-FFLCH/ Mary Aizawa Kato - UNICAMP/ Ilza Maria de Oliveira Ribeiro - UEFS/ Rodolfo Ilari - UNICAMP,Departamento de Linguística ,São Paulo,2010,66p. ,Acompanha relatório final do concurso público.02 exemplares ,Módulo 1      Cx. N-01
MCN-13,"Napolitano, Marcos Francisco Napolitano de Eugênio",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de História do Brasil Independente,Maria Helena Rolim Capelato - DH-FFLCH/ Elias Thomé Saliba - DH-FFLCH/ Eliana Regina de Freitas Dutra - UFMG/ Marcelo Siqueira Ridenti - UNICAMP/ Francisco Carlos Teixeira da Silva - UFRJ ,Departamento de História ,São Paulo,2011,100p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. N-01
MCN-14,"Novaes, Moacyr ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História da Filosofia Medieval ,Lorenzo Mammi - DF-FFLCH/ Luiz Henrique Lopes dos Santos- DF - FFLCH/ Raul Ferreira Landim Filho - UFRJ/ Francisco Bertelloni - Universidade de Buenos Aires/ Josão Carlos Brum Torres - UFRGS,Departamento de Filosofia,São Paulo,2011,65p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. N-01
MCN-15,"Navarro, Eduardo de  Almeida ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área: Línguas Indígenas do Brasil,Maria Cristina Fernandes Salles Altman - DL-FFLCH/ Bruno Fregni Bassetto - DLCV-FFLCH/ Helmut Troppmair - UNESP- Rio Claro/ Irineu Bicudo - UNESP - Rio Claro/ Neusa Maria Oliveira Barbosa Bastos - Univ. Mackenzie e PUC-SP,Departamento de Letras Clássicas e Vernáculas,São Paulo,2013,81p.,Acompanha relatório final do concurso público. ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
O,,,,,,,,,,
MCO-01,"Oliveira, Ariovaldo Umbelino de ",Memorial ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,2006,54p. ,,Módulo 1      Cx. O-01
MCO-02,"Oliveira, Ariovaldo Umbelino de ",Memorial - Adendo  ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,2006,13p. ,,Módulo 1      Cx. O-01
MCO-03,"Oliveira, Marilza de ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na Área de Filologia e Língua Portuguesa,Ataliba Teixeira de Castilho - DLCV-FFLCH/ Antonio Suarez Abreu - DL-FFLCH/ Mary Aizawa Kato - UNICAMP / Maria Antonieta Amarante de Mendonça Cohen - UFMG/ Ester Mirian Scarpa - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,,142p. ,,Módulo 1      Cx. O-01
MCO-04,"Oliveira, Paulo Fernando da Motta de ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Literartura Portuguesa,Francisco Maciel Silveira - DLCV- FFLCH/ Salete de Almeida Cara - DL-FFLCH/ Maria Lúcia Dal Farra - UFSE/ Yara Frateschi Vieira - UNICAMP/ Jorge Fernandes da Silveira - UFRJ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,,28p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. O-01
MCO-05,"Oliva Neto, João Ângelo ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Latina ,Paula da Cunha Corrêa - DLCV-FFLCH/ José Luiz Fiorin - DL-FFLCH/ Jacynto José Lins Brandão - UFMG/ Pedro Paulo Abreu Funari - UNICAMP/ Luiz Cesar Marques Filho - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,39p. ,Acompanha relatório final do concurso público ,
MCO-06,"Oliva, Luís César Guimarães",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História da Filosofia Moderna ,Maria das Graças de Souza - DF-FFLCH/ Marilena de Souza Chaí - DF-FFLCH/ Salma Tannus Muchail - PUC-SP/ Lívia Maria Guimarães - UFMG/ José Crisóstomo de Souza - UFBA,Departamento de Filosofia,São Paulo,2013,115p.,Acompanha relatório final do concurso público ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
P ,,,,,,,,,,
MCP-01,"Paula, Maria Regina Simões de ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,11p. ,,Módulo 1      Cx. P-01
MCP-02,"Paula, Maria Regina Simões de ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,19p. ,,Módulo 1      Cx. P-01
MCP-03,"Paula, Eurípedes Simões de ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,04p. ,,Módulo 1      Cx. P-01
MCP-04,"Paula, Eurípedes Simões de ",Currículo ,,,Departamento de História ,São Paulo,s.d.,04p. ,,Módulo 1      Cx. P-01
MCP-05,"Pinto, Maria Inez Machado Borges ",Currículo ,,,Departamento de História ,São Paulo,1972,12p. ,,Módulo 1      Cx. P-01
MCP-06,"Pires, Francisco Murari",Currículo ,,,Departamento de História ,São Paulo,1975,08p. ,,Módulo 1      Cx. P-01
MCP-07,"Petrone, Maria Thereza Schorer",Currículo ,,,Departamento de História ,São Paulo,1982,03p. ,,Módulo 1      Cx. P-01
MCP-08,"Perrone-Moisés, Leyla ",Memorial ,Concurso público de Títulos e provas na função de Professor ,,,São Paulo,1983,22p. ,,Módulo 1      Cx. P-01
MCP-09,"Portal, Maria da Glória Alves ",Currículo ,,,,,1987,2p. ,fazer um suporte para as folhas de seda,Módulo 1      Cx. P-01
MCP-10,"Prado, Maria Lígia Coelho ",Currículo ,,,Departamento de História ,São Paulo,1987,20p. ,,Módulo 1      Cx. P-01
MCP-11,"Prado, Maria Lígia Coelho ",Memorial ,Concurso público de Títulos e provas na função de Professor  Assistente na Disciplina de História das Instituições ,,Depatamento de História ,São Paulo,1988,36p. ,,Módulo 1      Cx. P-01
MCP-12,"Preti, Dino ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na Área de Filologia e Língua Portuguesa,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,1990,72p. ,,Módulo 1      Cx. P-01
MCP-13,"Pierucci, Antônio Flávio",Memorial ,Concurso para provimento efetivo de cargo de Professor-Assistente nas disciplinas de Sociologia ,,Departamento de Sociologia ,São Paulo,1995,08p. ,,Módulo 1      Cx. P-01
MCP-14,"Peralta, Inez Garbuio ",Currículo ,,,Departamento de História ,São Paulo ,2004,30p. ,,Módulo 1      Cx. P-01
MCP-15,"Pires, Francisco Murari",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-docente ,,Departamento de História ,São Paulo,2006,22p. ,,Módulo 1      Cx. P-01
MCP-16,"Piñero Valverde, María de la Conceptión ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular,Mário Miguel González - DLM-FFLCH/ Lênia Márcia de Medeiros Mongelli - DLM-FFLCH/  Yara Frateschi Vieira - UNICAMP/ Luiz Jean Lauand - FE-USP/ Antonio Manoel dos Santos Silva - UNESP-SJRP,Departamento de Letras Modernas ,São Paulo,2006,124p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. P-01
MCP-17,"Pierucci, Antônio Flávio",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular,Sedi Hirano - DS-FFLCH/ Maria Arminda do Nascimento Arruda - DS-FFLCH/ Maura Pardini Bicudo Veras - PUC-SP/ Guita Grin Debert - UNICAMP/  Yvonne Maggie de Leers Costa Ribeiro - UFRJ,Departamento de Sociologia ,São Paulo,2008,108p.  ,Acompanha relatório final do concurso público.  02 exemplares ,Módulo 1      Cx. P-01
MCP-18,"Pires, Francisco Murari",Memorial,Concurso público de Títulos e provas na função de Professor  Titular,Ulpiano Toledo Bezerra de Meneses -DH-FFLCH/ Janice Theodoro da silva - DH-FFLCH/ Luiz de França Costa Lima Filho - PUC-RJ/ UERJ/ Jacynto José Lins Brndão - UFMG/  Donaldo Schüler - UFRGS,Departamento de História ,São Paulo,13/11/2008,122p. ,Acompanha anexo 179p.  E relatório final do concurso público - 02 exemplares,Módulo 1      Cx. P-01
MCP-19,"Petter, Margarida Maria Taddoni",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Linguística Africana ,,Departamento de Linguística ,São Paulo,2008,131p. ,02 exemplares ,Módulo 1      Cx. P-01
MCP-20,"Pietroforte, Antonio Vicente Seraphim ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre Docente  na Área de Teoria e Análise Semiótica do Texto,José Antonio Alves Torrano - DLCV-FFLCH/ José Luiz Fiorin - DL - FFLCH/ Sírio Possenti - UNICAMP/ Arnaldo Cortina - UNESP/ Maria da Graça Krieger - UNISINOS,Departamento de Linguística ,São Paulo,2008,94p. ,Acompanha relatório final do concurso público.  02 exemplares ,Módulo 1      Cx. P-02
MCP-21,"Pessoa Júnior, Osvaldo Frota ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente na Área de Teoria do Conhecimento e Filosofia da Ciência,Pablo Rubén Mariconda - DF-FFLCH/ Luiz Henrique Lopes dos Santos - DF-FFLCH/ Alberto Oscar Cupani - UFSC/ Silvio Seno Chibeni - UNICAMP/ Maurício Pietrocola Pinto de Oliveira - FE-USP,Departamento de Filosofia ,São Paulo,2010,68p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. P-02
MCP-22,"Pinto Filho, Júlio César Pimentel ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-docente  na disciplina de História da América Independente,Maria Helena Rolim Capelato - DH-FFLCH/ Maria Lígia Coelho Prado - DH-FFLCH/ Manoel Lelo Bellotto - UNESP-Assis/ Fernando Torres Londoño - PUC / Miriam Viviana Gárate - UNICAMP ,Departamento de História ,São Paulo,2010,100p. ,02 exemplares ,Módulo 1      Cx. P-02
MCP-23,"Puntoni, Pedro ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente na Área de História do Brasil Colonial ,Eni de Mesquita Samara- DH-FFLCH/Vera lúcia do Amaral Ferlini-DH-FFLCH/ Caio César Boschi - PUC-MG/ Junia Ferreira Furtado - UFMG/ Silvia Hunold Lara- UNICAMP,Departamento de História ,São Paulo,2010,104p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. P-02
MCP-24,"Pasta Júnior, José Antonio ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de Literatura Brasileira - opção 06 - O Realismo ,Maria Augusta Bernardes Fonseca  - DTLLC-FFLCH/ Franklin Leopoldo e Silva - DF-FFLCH/ Ismail Norberto Xavier - ECA-USP/ Maria Thereza Fraga Rocco - FE-USP/  José Coelho Sobrinho - ECA -USP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2011,90p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. P-02
MCP-25,"Peixoto, Fernanda Areas",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Antropologia Social ,"Sylvia Maria Caiuby Novaes -  DA-FFLCH/ Leopoldo Garcia Pinto Waizbort - DS - FFLCH/ Otávio Guilherme Cardoso Alves Velho - UFRJ/ Ricardo Augusto Benzaquen de Araújo - PUC-RJ/ Adrián Gustavo Gorelik - Universidad de Quilmes, Argentina",Departamento de Antropologia ,São Paulo,2012,35p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. P-02
MCP-26,"Pimenta, João Paulo Garrido ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História do Brasil Colonial ""C"" ",Pedro Luis Puntoni - DH-FFLCH/  Rafael de Bivar Marquese - DH-FFLCH/ Paulo Henrique Martinez - UNESP - Assis/ Cecília Helena de Salles Oliveira - MP-USP/ Wilma Peres Costa - UNICAMP ,Departamento de História ,São Paulo,2012,72p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. P-02
MCP-27,"Pontieri, Regina Lúcia ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Teoria Literária e Literatura Comparada ,Sandra Margarida Nitrini - DTLLC-FFLCH/ Cleusa Rios Pinheiro Passos - DTLLC-FFLCH/ Adilson Odair Citelli - ECA-USP/  Miriam Viviana Gárate - UNICAMP/ Suzi Frankl Sperber - UNICAMP,Departamento de Teoria Literária e Literatura Comparada ,São Paulo,2012,54p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. P-02
MCP-28,"Pérez-Machado, Reinaldo Paul ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente no Departamento de Geografia ,,Departamento de Geografia ,São Paulo,2012,21p. ,02 exemplares ,Módulo 1      Cx. M-04
MCP- 29,"Pino, Cláudia Consuelo  Amigo ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na área de Língua e Literatura Francesa, disciplina de Literatura Francesa  ",Cleusa Rios Pinheiro Passos -DTLLC-FFLCH/ Philippe Léon Marie Ghislain Willemart - DLM-FFLCH/ Leda Tenório da Motta - PUC-SP/ Eneida Maria de Souza - UFMG/ Celina Maria Moreira de Mello - UFRJ ,Departamento de Letras Modernas ,São Paulo,2013,189p. ,Acompanha relatório final do concurso público,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,s.d.,,,
Q,,,,,,,s.d.,,,
MCQ-01,"Queiroz, Tereza Aline Pereira de  ",Currículo,,,Departamento de História ,São Paulo,1982,03p. ,,Módulo 1      Cx. Q-01
MCQ-02,"Queiroz, Suely Robles Reis de ",Currículo,,,Departamento de História ,São Paulo,1987,08p. ,,Módulo 1      Cx. Q-01
MCQ-03,"Queiroz, Suely Robles Reis de ",Currículo,,,Departamento de História ,São Paulo,,03p. ,,Módulo 1      Cx. Q-01
MCQ-04,"Queiroz, Suely Robles Reis de ",Memorial ,Concurso público de Títulos e provas na função de Professor  Adjunto ,,Departamento de História ,São Paulo,,115p. ,,Módulo 1      Cx. Q-01
,,,,,,,s.d.,,,
R,,,,,,,s.d.,,,
MCR-01,"Rosenthal, Erwin Theodor ",Curriculo,,,Língua e Literatura Alemã,São Paulo ,1988,10p. ,,Módulo 1      Cx. R-01
MCR-02,"Ross, Jurandyr Luciano Sanches ",Curriculo,,,Departamento de Geografia ,São Paulo,1988,11p. ,,Módulo 1      Cx. R-01
MCR-03,"Rodrigues, Adyr Apparecida Balastreri",Memorial,Concurso público de Títulos e provas na função de Professor -Assistente ,,Departamento de Geografia ,São Paulo ,1988,30p.,,Módulo 1      Cx. R-01
MCR-04,"Rosa, Flávio Sammarco ",Memorial ,"Concurso público de Títulos e provas na função de Professor  Assistente , disciplina de Geografia ",,Departamento de Geografia ,São Paulo,1990,62p.,,Módulo 1      Cx. R-01
MCR-05,"Ross, Jurandyr Luciano Sanches ",Memorial ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,1990,76p. ,,Módulo 1      Cx. R-01
MCR-06,"Rocha, Antonio Penalves ",Curriculo,,,Departamento de História ,São Paulo,1990,4p. ,,Módulo 1      Cx. R-01
MCR-07,"Rodrigues, Adyr Apparecida Balastreri",Atualização do curriculo,Concurso público de Títulos e provas na função de Professor -Assistente - MS-2,,Departamento de Geografia ,São Paulo ,1991,5p. ,,Módulo 1      Cx. R-01
MCR-08,"Rosa, Flávio Sammarco ",Complementação ao Memorial ,"Concurso público de Títulos e provas na função de Professor  Assistente , disciplina de Geografia ",,Departamento de Geografia ,São Paulo,1993,8p. ,,Módulo 1      Cx. R-01
MCR-09,"Rossini, Rosa Ester ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular ,,Departamento de Geografia ,São Paulo,2004,29p. ,,Módulo 1      Cx. R-01
MCR-10,"Ribeiro, Renato Janine ",Memorial ,Concurso público de Títulos e provas na função de Professor-Adjunto de Filosofia e Ética,,Departamento de Filosofia ,São Paulo,2006,58p. ,,Módulo 1      Cx. R-01
MCR-11,"Ribeiro, Wagner Costa ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente ,,Departamento de Geografia ,São Paulo,2007,160p. ,,Módulo 1      Cx. R-01
MCR-12,"Ross, Jurandyr Luciano Sanches ",Currículo ,Concurso público de Títulos e provas na função de Professor  Titular ,,Departamento de Geografia ,São Paulo ,2007,248p. ,,Módulo 1      Cx. R-01
MCR-13,"Rocha, Antonio Penalves ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente ,,Departamento de História ,São Paulo,2009,28p. ,02 exemplares ,Módulo 1      Cx. R-02
MCR-14,"Roncari, Luiz Dagoberto de Aguirra ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular ,,Departamento de Geografia ,São Paulo,2010,58p. ,,Módulo 1      Cx. R-02
MCR-15,"Ribeiro, Wagner Costa ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular ,,Departamento de Geografia ,São Paulo,2009,255p. ,02 exemplares ,Módulo 1      Cx. R-02
MCR-16,"Ribeiro, Wagner Costa ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular ,,Departamento de Geografia ,São Paulo,,291p. ,,Módulo 1      Cx. R-02
MCR - 17,"Ramos, Maurício de Carvalho ",Memorial ,Concurso público de Títulos e provas na função de Professor  [Livre-docente],,Departamento de Filosofia ,São Paulo,2013,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S,,,,,,,,,,
MCS - 01,"Sader, Emir Simão ",Memorial ,,,Departamento de Sociologia ,São Paulo,s.d.,17p. ,,Módulo 1      Cx. S-01
MCS - 02,"Sader, Maria Regina Cunha de Toledo ",Curriculo - Atualização ,,,Departamento de Geografia ,São Paulo,s.d.,02p. ,,Módulo 1      Cx. S-01
MCS -03 ,"Schutzer, Linneu de Camargo",Currículo ,,,Departamento de História ,São Paulo,s.d. ,08p. ,,Módulo 1      Cx. S-01
MCS - 04,"Sevcenko, Nicolau",Currículo ,,,Departamento de História ,São Paulo,s.d.,08p. ,,Módulo 1      Cx. S-01
MCS - 05,"Silva, Maria Beatriz Nizza da Silva ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,10p. ,,Módulo 1      Cx. S-01
MCS -06,"Silva, Victor Deodato",Currículo ,,,Departamento de História ,São Paulo,s.d. ,05p. ,,Módulo 1      Cx. S-01
MCS - 07,"Souza, Laura de Mello e ",Currículo ,,,Departamento de História ,São Paulo,1972,19p. ,,Módulo 1      Cx. S-01
MCS - 08,"Suano, Marlene ",Memorial ,,,Departamento de História ,São Paulo,1972,23p. ,,Módulo 1      Cx. S-01
MCS - 09,"Silva, Maria Beatriz Nizza da Silva ",Currículo ,,,Departamento de História ,São Paulo,[1973],05p. ,,Módulo 1      Cx. S-01
MCS - 10,"Siqueira, Sonia Apparecida de ",Currículo,,,Departamento de História ,São Paulo,1979,05p. ,,Módulo 1      Cx. S-01
MCS - 11,"Soeiro, José Roberto Correia ",Currículo ,,,Departamento de História ,São Paulo,1982,02p. ,Professor de Introdução a Economia e História Economica do Brasil ,Módulo 1      Cx. S-01
MCS - 12,"Suano, Marlene ",Currículo  ,,,Departamento de História ,São Paulo,1985,06p. ,,Módulo 1      Cx. S-01
MCS - 13,"Silva, Victor Deodato",Currículo ,,,Departamento de História ,São Paulo,1986,03p. ,,Módulo 1      Cx. S-01
MCS - 14,"Saliba, Elias Thomé ",Currículo,,,Departamento de História ,São Paulo,1987,5p. ,,Módulo 1      Cx. S-01
MCS - 15,"Silva,  Janice Theodoro da ",Currículo ,,,Departamento de História ,São Paulo,1987,21p. ,,Módulo 1      Cx. S-01
MCS - 16,"Sevcenko, Nicolau",Memorial ,Concurso público de  efetivação no Magistério Superior ,,Departamento de História ,São Paulo,1987,12p. ,,Módulo 1      Cx. S-01
MCS - 17,"Silva,  Janice Theodoro da ",Memorial ,Concurso público de Títulos e provas na função de Professor,,Departamento de História ,São Paulo,1987,16p. ,,Módulo 1      Cx. S-01
MCS - 18,"Silva, Marcos  Antonio da",Memorial ,,,Departamento de História ,São Paulo,1988,22p. ,,Módulo 1      Cx. S-01
MCS - 19,"Souza, Laura de Mello e ",Memorial ,,,Departamento de História ,São Paulo,1988,30p. ,,Módulo 1      Cx. S-01
MCS - 20,"Sader, Maria Regina Cunha de Toledo ",Memorial ,,,Departamento de Geografia ,São Paulo,1988,18p. ,,Módulo 1      Cx. S-01
MCS - 21,"Sallum Júnior, Brasílio João ",Memorial ,,,Departamento de Sociologia ,São Paulo,1988,25p.,,Módulo 1      Cx. S-01
MCS - 22,"Scarlato, Francisco Capuano ",Memorial ,Concurso público de Títulos e provas na função de Professor ,,Departamento de Geografia ,São Paulo,1988,04p. ,,Módulo 1      Cx. S-01
MCS - 23,"Scarlato, Francisco Capuano ",Currículo ,,,Departamento de Geografia ,São Paulo,1988,24p. ,,Módulo 1      Cx. S-01
MCS - 24,"Seabra, Odette Carvalho de Lima ",Currículo ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,1988,51p. ,,Módulo 1      Cx. S-01
MCS - 25,"Silva, Darcy da ",Memorial ,Concurso para provimento efetivo de cargo de Professor-Assistente nas disciplinas de Sociologia ,,Departamento de Sociologia ,São Paulo,1990,32p. ,,Módulo 1      Cx. S-01
MCS - 26 ,"Simielli, Maria Elena Ramos ",Memorial ,Concurso público de Títulos e provas na função de Professor  Assistente ,,Departamento de Geografia ,São Paulo,1990,53p. ,,Módulo 1      Cx. S-01
MCS - 27,"Saliba, Elias Thomé ",Currículo,,,Departamento de História ,São Paulo,1990,5p. ,,Módulo 1      Cx. S-01
MCS - 28,"Samara, Eni de Mesquita ",Currículo ,,,Departamento de História ,São Paulo,1990,43p. ,,Módulo 1      Cx. S-01
MCS - 29,"Scarlato, Francisco Capuano ",Memorial - complementação,,,Departamento de Geografia ,São Paulo,1990,07p. ,,Módulo 1      Cx. S-01
MCS - 30,"Seabra, Odette Carvalho de Lima ",Currículo ,,,Departamento de Geografia ,São Paulo,1991,14p. ,,Módulo 1      Cx. S-01
MCS - 31,"Simielli, Maria Elena Ramos ",Memorial - Adendo  ,,,Departamento de Geografia ,São Paulo,1996,16p. ,,Módulo 1      Cx. S-01
MCS - 32,"Silva,  Janice Theodoro da ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente,,Departamento de História ,São Paulo,2000,247p. = Currículo 13p. ,,Módulo 1      Cx. S-02
MCS - 33,"Silva,  Janice Theodoro da ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular ,,Departamento de História ,São Paulo,2003,45p. ,Acompanha 7 caixas com documentação  que comprovam as atividades do Currículo,Módulo 1      Cx. S-02
MCS - 34,"Samara, Eni de Mesquita ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na disciplina História do Brasil Colonial ,,Departamento de História ,São Paulo,2004,144p. ,,Módulo 1      Cx. S-02
MCS - 35,"Sallum Júnior, Brasílio João ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na Área de Sociologia Política ,,Departamento de Sociologia ,São Paulo,2005,73p. +36p. (Currículo ),,Módulo 1      Cx. S-02
MCS - 36,"Secco, Lincoln Ferreira ",Memorial ,,,Departamento de História ,São Paulo,2004,34p. ,02 exemplares sendo um deles editado posteriormente com 46p. ,Módulo 1      Cx. S-02
MCS - 37,"Santos, Luiz Henrique Lopes dos ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na disciplina Filosofia Geral ,Carlos Alberto Ribeiro de Moura - DF-FFLCH/ José Arthur Giannotti - DF-FFLCH/ Guido Antônio de Almeida - UFRJ/ Danilo Marcondes de Souza Filho - PUC-RJ / Raul Ferreira Landim Filho - UFRJ ,Departamento de Filosofia ,São Paulo,2005,29p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. S-02
MCS - 38,"Santos Filho, Gildo Magalhães dos",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente em História das Ciências, das Técnicas e do Trabalho ",Shozo Motoyama - DH-FFLCH/ Wilson do Nascimento Barbosa - DH - FFLCH/ Luiz Carlos Soares - ICHF - UFF-RJ/ Maria Margaret Lopes - IG-UNICAMP -/ Júlio Roberto Katinsky - FAU-USP ,Departamento de História ,São Paulo,2005,19p. + anexos - 02 exemplares ,,Módulo 1      Cx. S-02
MCS - 39,"Schwarcz, Lilia  Moritz",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área  de Antropologia Social ,Sérgio Miceli Pessôa de Barros - DS-FFLCH/ João Baptista Borges Pereira - DA-FFLCH/ João José Reis - UFBa/ Guita Grin Debret - UNICAMP/ Yvonne Maggie de Leers Costa Ribeiro - UFRJ ,Departamento de Antropologia ,São Paulo,2007,146p. ,Acompanha relatório final do concurso público- 02 exemplares ,Módulo 1      Cx. S-02
MCS - 40,"Souza, Maria das Graças de",Memorial ,Concurso público de Títulos e provas na função de Professor Titular  na disciplina de Ética e Filosofia Política ,Marilena de Souza Chauí- DF-FFLCH/ Olgaria Chain Féres Matos - DF/ Renato de Andrade Lessa - IUPERJ/ Salma Tannus Muchail - PUC-SP / Maria Victória de Mesquita Benevides Soares - FE-USP,Departamento de Filosofia ,São Paulo,2007,77p. ,Acompanha relatório final do concurso público- 02 exemplares ,Módulo 1      Cx. S-03
MCS - 41,"Santos, Raquel Santana ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente  em Psicolinguística ,,Departamento de Linguística ,São Paulo,2008,40p. ,02 exemplares ,Módulo 1      Cx. S-03
MCS - 42,"Silva, Marcos  Antonio",Memorial ,Concurso público de Títulos e provas na função de Professor Titular  de Metodologia ,Raquel Glezer - DH-FFLCH/ José  Sebastião Witter - DH-FFLCH/ Therezinha Apparecida Porto Ancona Lopes - IEB-USP/ José Carlos Barreiro - UNESP - Assis/ Caio César Boschi - UFMG,Departamento de História ,São Paulo,5/8/2009,43p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. S-03
MCS - 43,"Seabra Filho, José Rodrigues ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente em Língua e Literatura Latina ,Eduardo de Almeida Navarro - DLCV-FFLCH/ Bruno Fregni Bassetto - DLCV-FFLCH/  Irineu Bicudo - UNESP/ Francisco Benjamin de Souza Netto - UNICAMP/ Alceu Dias Lima - UNESP -  Araraquara,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2009,25p. + anexos ,Acompanha relatório final do concurso público- 02 exemplares ,Módulo 1      Cx. S-03
